"Treated" "Synthetic" "Sample Mean"
"GDP_per_capita" 25251.639 21121.658 21167.074
"fuel_cons_capita" 511.162 708.847 583.924
"gas_share" 73.099 74.8 66.428
"urban_pop" 80.606 81.105 74.211
"special.CO2_transport_capita.1989" 4.554 3.349 2.54
"special.CO2_transport_capita.1979" 2.722 2.773 2.287
"special.CO2_transport_capita.1969" 1.643 2.04 1.652
