"w.weights" "unit.names" "unit.numbers"
"1" 0 "Australia" 1
"3" 0.236 "Belgium" 3
"4" 0.206 "Canada" 4
"5" 0 "Denmark" 5
"7" 0 "France" 7
"9" 0 "Greece" 9
"10" 0 "Iceland" 10
"13" 0 "Japan" 13
"16" 0.557 "New.Zealand" 16
"18" 0 "Poland" 18
"19" 0 "Portugal" 19
"20" 0 "Spain" 20
"22" 0 "Switzerland" 22
