"Treated" "Synthetic" "Sample Mean"
"GDP_per_capita" 21195.045 21180.092 21167.074
"fuel_cons_capita" 580.814 509.179 583.924
"gas_share" 54.363 66.976 66.428
"urban_pop" 72.912 73.067 74.211
"special.CO2_transport_capita.1989" 2.378 2.328 2.54
"special.CO2_transport_capita.1979" 1.766 1.784 2.287
"special.CO2_transport_capita.1969" 1.262 1.288 1.652
