gas_totalprice,gas_totalprice_less_vat,gas_excise_tax,gas_excisetax_with_vat,crude
0.33503034951133,0.33503034951133,0.156751147462128,0.156751147462128,8.93999426
0.360931290186403,0.360931290186403,0.159105778432589,0.159105778432589,19.12377012
0.485390355767921,0.485390355767921,0.175251819372895,0.175251819372895,22.59105355
0.559729419263909,0.559729419263909,0.188706853489815,0.188706853489815,24.79966341
0.584284856527289,0.584284856527289,0.187865913857508,0.187865913857508,26.64078496
0.619436133157745,0.619436133157745,0.207207525400582,0.207207525400582,27.85168833
0.638441368847896,0.638441368847896,0.217298800988272,0.217298800988272,29.05065066
0.649709959920817,0.649709959920817,0.227894640355347,0.227894640355347,28.79139182
0.529455592500837,0.444688877564235,0.162301349035358,0.193239276385517,12.31200608
0.545265257588219,0.457975723754695,0.174915443519971,0.20825408295694,13.66930569
0.563429553646062,0.473280825062692,0.211244035635658,0.251480994804355,10.49624984
0.592862440776826,0.494977067576227,0.212757726973811,0.254832139851405,13.16437344
0.647523516876818,0.537528612970989,0.222849002561502,0.268450769668893,15.25354924
0.682506605580812,0.563093177793139,0.274146320132263,0.332283681928531,13.65737184
0.66232405440543,0.542910626617758,0.306774777865796,0.374250023307158,14.55545616
0.787119495839872,0.645168885906356,0.406510218257472,0.495950944068032,16.36136814
0.791660569854332,0.64886902028851,0.408696661301472,0.498635351152418,13.91594688
0.837575873778325,0.686543115815888,0.459153039239925,0.560162208577861,12.485157
0.938993193434616,0.769627951487875,0.526091833971607,0.641864228379257,15.9383254
0.941179636478616,0.771478018678951,0.525587270192222,0.641200428165615,16.72057355
0.948748093169384,0.777700971958027,0.559224855484524,0.682220460594334,11.48675346
1.01602326375399,0.832866611837403,0.559224855484524,0.682204634891359,16.81080957
1.15746930990812,0.948748093169384,0.559224855484524,0.682252340975801,31.0424686
1.131,0.927,0.559,0.682016181229774,27.3119444
1.1,0.902,0.56,0.682926829268293,26.5638
1.118,0.916,0.587,0.716447598253275,25.55322056
1.169,0.958,0.588,0.717507306889353,30.8454795
1.238,1.015,0.588,0.717186206896552,43.9129932
1.315,1.078,0.588,0.717272727272727,51.92576474
1.331,1.091,0.588,0.717349220898259,52.8616593
1.464,1.2,0.627,0.76494,66.2877425
1.322,1.084,0.627,0.764662361623616,44.4143131
1.467,1.193,0.622,0.76485666387259,60.03362795
1.619,1.316,0.628,0.772592705167173,79.99946955
1.716,1.395,0.651,0.8008,86.91987392
1.676,1.352,0.651,0.807008875739645,81.85332012
1.657,1.336,0.673,0.834701347305389,74.57414514
1.524,1.229,0.682,0.845702196908055,47.21988183
1.447,1.167,0.682,0.84563324764353,39.5244102
