gas_totaltax,diesel_totaltax,real_taxdiff
0.454606502055627,0.263886392287655,0.190720109767972
0.429374201894616,0.254628887170063,0.174745314724553
0.423808182672897,0.255830467275674,0.167977715397223
0.409993369718783,0.244826700277705,0.165166669441078
0.372465678809196,0.23641733775803,0.136048341051165
0.379096351332896,0.228627101493784,0.150469249839112
0.371315517144205,0.224168810659814,0.147146706484391
0.37018787235232,0.223478730320441,0.146709142031879
0.389895008567737,0.239935389887838,0.149959618679899
0.397435710031483,0.24345805200774,0.153977658023743
0.434724581159344,0.287713924807468,0.147010656351877
0.420353582641018,0.295408202635648,0.12494538000537
0.424302362733008,0.332109327879449,0.0921930348535591
0.480970791344894,0.332157606330491,0.148813185014403
0.506072244347558,0.319939911383105,0.186132332964453
0.63730239012761,0.336924048015946,0.300378342111664
0.633919569381656,0.394773943481959,0.239145625899698
0.695884630661133,0.439435415888825,0.256449214772309
0.788172778175804,0.444693371580206,0.343479406595598
0.778695798563097,0.494737424994188,0.283958373568909
0.806587587906667,0.462924060125153,0.343663527781514
0.810542090721367,0.466236150507827,0.344305940213539
0.813700365985481,0.484727331467479,0.328973034518002
0.788137959256893,0.466891687528329,0.321246271728563
0.770861213477335,0.452550448545401,0.318310764931934
0.795407969164654,0.468776559773845,0.326631409390808
0.803984740623851,0.474944677815341,0.32904006280851
0.811,0.494,0.317
0.812274455067519,0.495241273816924,0.317033181250595
0.795261745838323,0.483111905986324,0.312149839851999
0.822335092867332,0.547300460236058,0.275034632631274
0.798338782637758,0.502076644803399,0.296262137834359
0.81727209337393,0.52265280078489,0.29461929258904
0.821140040971375,0.54772069327951,0.273419347691865
0.833883775379988,0.651149985096102,0.182733790283886
0.824272315971265,0.644200517712928,0.180071798258338
0.83167528866286,0.655132546300824,0.176542742362036
0.819155119855993,0.635536930246512,0.183618189609481
0.803711549081879,0.615733276167718,0.187978272914161
