gas_totaltax,diesel_totaltax,real_taxdiff
3.29883282597211,0.194853337907161,3.10397948806495
3.47556252026524,0.191315368087995,3.28424715217724
4.07174414915002,0.344920475444527,3.7268236737055
4.10238931265276,0.615358396897914,3.48703091575485
3.90229283563194,0.769401302893193,3.13289153273875
3.62657836986149,0.835763393287799,2.79081497657369
3.52498362021841,1.03595351949752,2.48903010072089
4.24959070305876,0.964821236874715,3.28476946618405
4.11189221329514,0.925613183333245,3.18627902996189
4.14811457456973,1.26458715572915,2.88352741884057
4.41174791860407,1.39335060163107,3.018397316973
4.23414809557606,1.53264233882119,2.70150575675487
5.71818863214793,2.75170097890039,2.96648765324754
5.67771469176964,2.83762306008226,2.84009163168738
5.52071298975128,2.69344241517894,2.82727057457234
6.30181661150801,2.77445707594708,3.52735953556093
6.17432256340532,4.13236737360965,2.04195518979566
6.13195744179798,4.12683485589704,2.00512258590094
6.40359073940813,4.26359014376789,2.14000059564024
6.59756423465762,4.31830687055926,2.27925736409836
6.71440989417625,4.28519066773268,2.42921922644358
6.70196256942302,4.32839602654546,2.37356654287756
6.94220409259754,4.96071390479248,1.98149018780506
6.76860286383481,5.00899709374218,1.75960577009262
6.73863784085227,4.93193884371665,1.80669899713562
6.72122993774772,4.84077781745076,1.88045212029695
6.88204694280216,5.06283996376046,1.8192069790417
7.228,5.716,1.512
7.27011078081308,5.81293156745158,1.4571792133615
7.18419198356382,5.71608019974001,1.4681117838238
7.36725834131916,6.37531462797878,0.991943713340375
7.53234479043839,6.23256517396085,1.29977961647754
7.5768353331278,6.33179803319012,1.24503729993768
7.55701300675975,6.40720893078784,1.14980407597191
7.80104478070993,6.58193630679965,1.21910847391028
7.70360727668919,6.72770987828617,0.975897398403023
7.6986911429451,6.70672547807626,0.99196566486884
7.745248716,6.747449488,0.997799228
8.04726146856492,7.13273951772701,0.914521950837903
