year,id,country,CO2_emissions_transport_cap,gas_cons_capita,diesel_cons_capita,real_gdp_PPP_cap,urban_pop,vehicles_1000cap,share,fuel_cons_capita,gas_share
1960,1,Australia,2.11249893396397,399.455961415571,0,14309.7105319119,81.529,197.013042504742,0,399.455961415571,100
1961,1,Australia,2.04376681245765,407.421539635601,0,14326.6581795718,81.941,203.023943527616,0,407.421539635601,100
1962,1,Australia,2.11848198830446,426.829268292683,0,14905.0215581863,82.228,214.12213740458,0,426.829268292683,100
1963,1,Australia,2.26168792276463,448.767123287671,0,15865.5447558432,82.511,228.210045662101,0,448.767123287671,100
1964,1,Australia,2.38313663318611,476.403689442106,0,16269.4675746831,82.792,242.562908569893,0,476.403689442106,100
1965,1,Australia,2.57493571409479,495.69722514928,0,16198.9601395771,83.068,254.293993677555,0,495.69722514928,100
1966,1,Australia,2.46025045394643,503.390266929877,0,16960.7692486179,83.34,262.689897862844,0,503.390266929877,100
1967,1,Australia,2.6133090888251,524.281718789728,0,17324.0100934026,83.507,274.726671751843,0,524.281718789728,100
1968,1,Australia,2.69963709964493,545.174452493963,0,18383.2284612556,83.672,286.851528020651,0,545.174452493963,100
1969,1,Australia,2.86208795306994,571.148984750877,0,19343.6724533243,83.836,299.779825491315,0,571.148984750877,100
1970,1,Australia,2.7067562294805,593.347725273847,74.3583593187815,19500.3468899228,83.999,311.705444950828,7.97956989247312,667.706084592629,88.863609148605
1971,1,Australia,2.74881594100818,603.385638092293,69.5679060060292,19703.802147669,84.16,313.635309577182,8.67333333333333,672.953544098322,89.6623018607857
1972,1,Australia,2.7654405201677,626.84981406997,69.8186233588829,20324.8034315535,84.32,323.275404113228,8.97826086956521,696.668437428853,89.9782135076253
1973,1,Australia,3.0847240567379,664.723467862481,68.3856502242152,21106.3239397434,84.478,337.832585949178,9.72021857923498,733.109118086696,90.6718319910287
1974,1,Australia,2.85073104688324,662.901697879472,76.0037892589084,19993.3576578166,84.636,347.63535670043,8.72195589645254,738.90548713838,89.7140039447732
1975,1,Australia,2.87202296510625,680.558554667818,83.35132800691,19823.1308359226,84.792,349.708486288059,8.16493955094991,763.909882674728,89.0888532931311
1976,1,Australia,2.86866939987716,699.921613339984,90.7147438181429,20412.7660406216,84.947,360.557257892111,7.71563236449332,790.636357158127,88.5263632266787
1977,1,Australia,3.0217703702929,725.479143179256,104.918263810598,20328.0974761021,85.1,370.701803833145,6.91470785762253,830.397406989854,87.3652948663555
1978,1,Australia,3.47604806757715,743.418303384873,115.127455077309,21151.1212364501,85.252,380.42902911269,6.4573502722323,858.545758462182,86.5904112922852
1979,1,Australia,3.4596160472236,757.544439851178,128.49662394929,21637.8268332131,85.403,390.629736805843,5.89544235924934,886.041063800468,85.49766718507
1980,1,Australia,3.60252049217308,742.921317723931,150.626191124421,22110.4183377604,85.552,394.813503947727,4.9322187076367,893.547508848352,83.142900670323
1981,1,Australia,3.75226258485868,734.507938634689,159.375628056542,22919.6688103321,85.7,403.369732699136,4.60865910046238,893.883566691231,82.1704264408304
1982,1,Australia,3.72251267443641,742.192647252602,172.750032942417,22031.811008928,85.67,415.608117011464,4.29633867276887,914.942680195019,81.1190321883776
1983,1,Australia,3.70173997587776,722.102934478496,175.548181404125,22982.6800939633,85.641,420.951916194938,4.11341734618236,897.651115882621,80.4436068425631
1984,1,Australia,3.89339760285308,730.442614513639,197.696860524961,23501.089620438,85.611,426.93000514668,3.69476082004557,928.1394750386,78.699660359049
1985,1,Australia,3.80850159841808,732.326437365148,214.557684985404,23864.7940453845,85.582,434.223886279985,3.41319136350193,946.884122350552,77.3406608136184
1986,1,Australia,3.80262562483839,733.843579883134,220.371572691405,23865.2975380537,85.552,436.086001098736,3.33002832861189,954.215152574539,76.9054628720968
1987,1,Australia,3.88376055526489,721.967055872208,227.866624856277,25249.2522991931,85.522,434.877243465589,3.16837560712358,949.833680728485,76.009839461419
1988,1,Australia,3.89476578032271,735.35282660505,237.536444030438,26643.4125686954,85.493,438.151002286447,3.09574738986503,972.889270635488,75.5844317333996
1989,1,Australia,3.97617399643947,745.432486440194,251.332191454943,27447.2761822342,85.463,442.608716338377,2.96592522479887,996.764677895137,74.7852028639619
1990,1,Australia,3.68993847927339,758.448529454852,256.957181616281,26769.8921404515,85.433,0,2.95165336374002,1015.40571107113,74.6941366574331
1991,1,Australia,3.51036960621362,716.790094885443,244.735015042814,26397.2051608597,85.403,0,2.92884160756501,961.525109928257,74.5472050063181
1992,1,Australia,3.58660791098561,711.689054015433,247.499285510146,27114.0405779622,85.285,0,2.87551963048499,959.188339525579,74.1970085215422
1993,1,Australia,3.68779823383146,710.477160808287,255.051791475633,27902.7309794655,85.157,0,2.78561917443408,965.52895228392,73.5842419978895
1994,1,Australia,3.67234422987876,715.541865023803,261.607392887146,29004.9013701802,85.028,0,2.73517448083923,977.149257910949,73.2274889665846
1995,1,Australia,3.69102125629834,716.965471447543,266.766268260292,30113.6120037939,84.898,0,2.68761667703796,983.731739707835,72.8822139723254
