"w.weights" "unit.names" "unit.numbers"
"1" 0.001 "Australia" 1
"3" 0.292 "Belgium" 3
"4" 0.001 "Canada" 4
"5" 0.001 "Denmark" 5
"7" 0.001 "France" 7
"9" 0.001 "Greece" 9
"10" 0.002 "Iceland" 10
"13" 0.327 "Japan" 13
"16" 0.281 "New.Zealand" 16
"18" 0 "Poland" 18
"19" 0.001 "Portugal" 19
"20" 0.005 "Spain" 20
"22" 0.08 "Switzerland" 22
