"Treated" "Synthetic" "Sample Mean"
"GDP_per_capita" 23470.706 23636.07 21167.074
"fuel_cons_capita" 630.496 597.898 583.924
"gas_share" 72.404 72.326 66.428
"urban_pop" 59.735 60.452 74.211
"special.CO2_transport_capita.1989" 2.643 2.591 2.54
"special.CO2_transport_capita.1979" 2.218 2.219 2.287
"special.CO2_transport_capita.1969" 1.71 1.704 1.652
