gas_totaltax,diesel_totaltax,real_taxdiff
5.08159406823412,0.0332130331257132,5.04838103510841
4.98943591124095,0.0317798465684137,4.95765606467254
5.50307153359321,0.0573236618082626,5.44574787178495
5.49816580536399,0.0504418881226054,5.44772391724138
5.02874033310392,0.0453039669649002,4.98343636613902
5.07483481979696,0.0417681878172589,5.0330666319797
5.15131002628435,0.0393229772998805,5.11198704898447
4.85423673750036,0.0557958245689696,4.79844091293139
4.99773582581822,0.104119496371213,4.89361632944701
5.21952452182347,0.239427730358875,4.9800967914646
5.37167189897523,0.344146110519304,5.02752578845592
5.18102372761545,0.343493285808759,4.83753044180669
4.97548476230343,0.494799589621335,4.48068517268209
5.85982212838111,0.916842918046023,4.94297921033508
6.58353277733117,0.805086848509926,5.77844592882124
6.63936940759222,1.30756223514722,5.33180717244499
6.57431739258669,3.06801478320712,3.50630260937957
6.58755512365392,4.0209752053472,2.56657991830672
7.31407377777778,5.75711747854786,1.55695629922992
7.68409216875224,6.17786889524491,1.50622327350733
7.62990878181818,6.1453563944056,1.48455238741259
7.75709827361502,6.25064730453616,1.50645096907886
7.9175212166998,6.88148193903247,1.03603927766733
6.86076717388947,5.32556464269506,1.5352025311944
6.5540943119164,5.06975397333246,1.48434033858394
6.57858665633716,5.04868278277038,1.52990387356678
6.75188717136347,5.14767939230268,1.60420777906079
6.97,5.41,1.56
7.01655949406176,5.42366367577197,1.59289581828979
7.09305592334906,5.46291447995283,1.63014144339623
7.14504260295672,5.94796740246135,1.19707520049537
7.02801877204959,5.68281205396197,1.34520671808762
7.09434023945923,5.79877432671164,1.29556591274759
7.26898567890646,5.95456957920129,1.31441609970517
7.49901841682193,4.31018348256588,3.18883493425606
7.41193418536467,5.99646064302072,1.41547354234395
7.36451566590038,5.9353288357599,1.42918683014049
7.051681381,5.67754977,1.374131611
6.88939131916948,5.47496034476099,1.4144309744085
