gas_totalprice,gas_totaltax,gas_vat
0.971648231861384,0.454606502055627,0
0.974034923114003,0.429374201894616,0
1.17381037926486,0.423808182672897,0
1.21609441570776,0.409993369718783,0
1.15841160983272,0.372465678809196,0
1.13328884899274,0.379096351332896,0
1.09095487854443,0.371315517144205,0
1.05537693793137,0.37018787235232,0
0.835527220538622,0.389895008567737,0.133769288167556
0.826482727339363,0.397435710031483,0.132308616745567
0.812682671252123,0.434724581159344,0.13002922740034
0.802244926263989,0.420353582641018,0.13245575803848
0.825449265549308,0.424302362733008,0.140219173940064
0.834093791144264,0.480970791344894,0.145935581989263
0.786469020615898,0.506072244347558,0.141796090563049
0.914619805518926,0.63730239012761,0.164944255525208
0.909990671875406,0.633919569381656,0.164134710096074
0.955210986960431,0.695884630661133,0.17224487274909
1.064176208115,0.788172778175804,0.191944374274011
1.05408362088996,0.778695798563097,0.190059037433518
1.04789511363001,0.806587587906667,0.188922058245297
1.10930783190933,0.810542090721367,0.199972890076024
1.22643143204382,0.813700365985481,0.221156844982037
1.16826216503217,0.788137959256893,0.210721027114556
1.11866403011223,0.770861213477335,0.201359525420201
1.12707998672507,0.795407969164654,0.203640570052294
1.17629306857232,0.803984740623851,0.212316370803044
1.238,0.811,0.223
1.29471625262277,0.812274455067519,0.233344298001215
1.27837365182465,0.795261745838323,0.23051065096763
1.35117685292679,0.822335092867332,0.243654842331061
1.22012008167297,0.798338782637758,0.219658532101487
1.33810062609325,0.81727209337393,0.249924724982653
1.42795459326816,0.821140040971375,0.267245362421403
1.47216518369553,0.833883775379988,0.275387543103885
1.41690297596702,0.824272315971265,0.273912031153528
1.38640437959191,0.83167528866286,0.268579243119495
1.27778137426871,0.819155119855993,0.247339570478524
1.20890915958574,0.803711549081879,0.233928517404289
